"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* Erforderliche Felder"
"-- No Status Change --","-- Keine Statusänderung --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentifikation"
"3D Secure failed","3D Secure ist fehlgeschlagen."
"3D Secure sucess","3D Secure erfolgreich"
"A URL to logo image. Allowed file formats: .gif, .jpg, or .png. Limit the image to 190 pixels wide by 60 pixels high, larger images will be cropped.","Das Logo URL Bild. Erlaubte Formate .gif, .jpg, .png. Das Bild darf höchsten 190 px breit und 60px hoch sein. Grössere Bilder werden abgeschnitten."
"A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"A label that overrides the business name in the PayPal account on the PayPal pages.","Das Label welches den Business Name auf der Payment Page von PayPal überschreibt."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"About","Über"
"Account Holder","Kontoinhaber"
"Account Holder Name","Kontoinhaber"
"Account Number","Kontonummer"
"Account owner name.","Kontoinhaber"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktiv"
"Activate the payment method and test.","Activate the payment method and test."
"Active","Aktiv"
"Additional Information","Zusätzliche Informationen"
"Address Check","Adress Check"
"Adjust Qty","Anzahl anpassen"
"Adjustment Discount","Korrektur-Ermässigung"
"Adjustment Fee","Bearbeitungsgebühr"
"After payment selection","Nach der Wahl der Zahlungsmethode"
"Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Alias","Alias"
"Alias For Display","Beispiel-Alias"
"All Customers","Alle Kunden"
"Allowed Currencies","Erlaubte Währungen"
"Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Already registered?","Bereits registriert?"
"Always Checkout as Guest","Immer als Gast auschecken"
"American Express","American Express"
"Amount","Betrag"
"Amount Incl. Tax","Betrag inkl. Steuern"
"Amount due / currency","Offener Betrag / Währung"
"An error occured: PayPalPlusCw response is: ""!data""","An error occured: PayPalPlusCw response is: ""!data"""
"Approval URL missing in registration response.","Genehmigungs URL fehlt in der Registrationsantwort."
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Author","Autor"
"Authorization Amount","Autorisierungsbetrag"
"Authorization Failed","Autorisierung fehlgeschlagen"
"Authorization Method","Autorisierungsmethode"
"Authorization is uncertain.","Autorisierung ist unsicher"
"Authorized Status","Autorisationsstatus"
"Await Notification","Benachrichtigung abwarten"
"Awaiting confirmation","Warten auf die Bestätigung"
"BIC","BIC"
"Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Bank Location","Bank Standort"
"Bank Name","Name der Bank"
"Bank account number","Bankkonto"
