"!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden.","!shopname hat die Forderung gegen Sie im Rahmen eines laufenden Factoringvertrages an die PayPal (Europe) S.??r.l. et Cie, S.C.A. abgetreten. Zahlungen mit schuldbefreiender Wirkung k??nnen nur an die PayPal (Europe) S.??r.l. et Cie, S.C.A. geleistet werden."
"* Required Fields","* campo obbligatorio"
"-- No Status Change --","-- Nessun cambiamento di stato --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure fallito"
"3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"A URL to logo image. Allowed file formats: .gif, .jpg, or .png. Limit the image to 190 pixels wide by 60 pixels high, larger images will be cropped.","A URL to logo image. Allowed file formats: .gif, .jpg, or .png. Limit the image to 190 pixels wide by 60 pixels high, larger images will be cropped."
"A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"A label that overrides the business name in the PayPal account on the PayPal pages.","A label that overrides the business name in the PayPal account on the PayPal pages."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"About","A proposito di"
"Account Holder","Account Holder"
"Account Holder Name","Intestatario del conto"
"Account Number","Account Number"
"Account owner name.","Intestatario del conto"
"Action","Azione"
"Actions","Azioni"
"Activate","Activate"
"Activate the payment method and test.","Activate the payment method and test."
"Active","Active"
"Additional Information","Ulteriori informazioni"
"Address Check","Address Check"
"Adjust Qty","Regolare la quantità"
"Adjustment Discount","Regolazione del discount"
"Adjustment Fee","Costi di adeguamento"
"After payment selection","Dopo la scelta del pagamento"
"Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Alias","Alias"
"Alias For Display","Alias da visualizzare"
"All Customers","Tutti i clienti"
"Allowed Currencies","Valute accettate"
"Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Already registered?","Già iscritto?"
"Always Checkout as Guest","Effettua il checkout sempre come ospite"
"American Express","American Express"
"Amount","Importo"
"Amount Incl. Tax","Importo tasse incluse"
"Amount due / currency","Amount due / currency"
"An error occured: PayPalPlusCw response is: ""!data""","Si è verificato un errore. La risposta di PayPalPlusCw è: ""!data"""
"Approval URL missing in registration response.","Approval URL missing in registration response."
"Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Author","Autore"
"Authorization Amount","Importo autorizzazione"
"Authorization Failed","Autorizzazione non riuscita"
"Authorization Method","Metodo di autorizzazione"
"Authorization is uncertain.","Autorizzazione incerta"
"Authorized Status","Stato autorizzato"
"Await Notification","Attendi la notifica"
"Awaiting confirmation","In attesa di conferma"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Location","Posizione della banca"
"Bank Name","Nome della banca"
"Bank account number","Numero IBAN"
"Bank code number","Numero del codice bancario"
"Before payment selection","Prima della selezione del pagamento"
"Billing Address","Billing Address"
"Billing Information","Dati di fatturazione"
"Billing address","indirizzo di fatturazione"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","Con questa opzione è possibile specificare se si desidera catturare subito dopo l'ordine o manualmente la prenotazione. Nel caso di 'Ordina' solo un controllo di informazioni è fatto, ma nessuna prenotazione viene effettuata sulla carta."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only checks the payment information and does not create a reservation."
"CVC Code","Codice CVC"
"Can not redirect customer, approval URL missing in registration response.","Can not redirect customer, approval URL missing in registration response."
"Can not update transaction, authorizeId not set","Can not update transaction, authorizeId not set"
"Can not update transaction, saleId not set","Can not update transaction, saleId not set"
"Cancel","Interrompere"
"Cancel ID","Cancel ID"
"Cancel failed with unkown error.","Cancel failed with unkown error."
"Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Cancel status","Status di cancellazione"
"Canceled PayPalPlusCw","____ModuleCamel___ annullato"
"Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Cancelled Status","Stato annullato"
"Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Importo contabilizzato"
"Capture failed with unkown error.","Capture failed with unkown error."
"Capture information","Informazione della contabilizzazione"
"Capture status","Status di registrazione"
"Capture: Don't Close","Registrazione: Non chiudere"
"Captured Amount","Importo riconosciuto"
"Captured Status","Stato contabilizzato"
"Captures","Acquisizione"
"Captures & Refunds","Registrazioni & Rimborsi"
"Capturing","Contabilizzazione"
"Card Expiration","Carta di data di scadenza"
"Card Holder Name","Titolari di carte"
"Card Number","Numero di carta"
"Carrier Title","Titolo del trasportatore"
"Check out faster","Effettua il checkout più velocemente"
"Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Checkout","Checkout"
"Checkout API","Checkout API"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione. Per i pagamenti acquisiti, viene sempre creata una fattura."
"City entered","City entered"
"Company Commercial Number","Numero commerciale dell'azienda"
"Confirm Password","Conferma la password"
"Connection error.","Connection error."
"Continue","Continua"
"Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Could not create URI to cancel the transaction","Could not create URI to cancel the transaction"
"Could not create URI to capture the transaction","Could not create URI to capture the transaction"
"Could not create URI to refund the transaction","Could not create URI to refund the transaction"
"Could not delete experience profile.","Could not delete experience profile."
"Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Could not register experience profile.","Could not register experience profile."
"Could not update experience profile.","Could not update experience profile."
"Could not update payment information","Could not update payment information"
"Country entered","Country entered"
"Create","Create"
"Create Account","Crea un account"
"Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Creation Date","Data di creazione"
"Credit Card Brands","Credit Card Brands"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"Currency","Valuta"
"Current Configuration Scope:","Attuale ambito di configurazione:"
"Customer Account","Account cliente"
"Customer Alias Management","Gestione dell'Alias del cliente"
"Customer successfully returned from PayPalPlusCw","Il cliente é tornato con successo da PayPalPlusCw."
"Customer successfully returned from PayPal Plus","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customer sucessfully returned from the PayPalPlusCw payment page.","Il client è tornato con successo da PayPalPlusCw."
"Customers","Clienti"
"Customweb","Customweb"
"Data Encoding","Codifica dei dati"
"Date","Data"
"Date of Birth","Data di nascita"
"Day","Giorno"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Default Config","Configurazione predefinita"
"Deferred (authorization)","Ritardato (Autorizzazione)"
"Deferred capturing","Registrazione ritardata"
"Deferred settlement","Creazione ritardata"
"Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Define here the API password of your live account. You find it at the same location as the username.","Inserisci qui il password API. Il password può essere trovato sul sito stesso come il nome utente."
"Define here the API signature of your live account. You find it at the same location as the username.","Si prega di inserire la firma API. La firma può essere trovato sul sito stesso come il nome utente."
"Define here the API username of your live account. You can find it in your PayPal account under My Account > Profile > My Selling Tools > API access. There you can update the credentials and you can find also the API username, the API password and the API signature.","Si prega di inserire il nome utente API del account live. Lo si può trovare nel tuo conto PayPal in My Account > Profile > My Selling Tools > API access. Ci si può anche trovare la API password e la API firma."
"Define here your API password of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Inserisci qui il API password. Il password può essere trovato sul sito stesso come il Sandbox indirizzo e-mail."
"Define here your API signature of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Inserisci qui la API firma. La firma può essere trovato sul sito stesso come il Sandbox indirizzo e-mail."
"Define here your API username of the sandbox account. You can find it where you find also the e-mail address of your sandbox.","Inserisci qui il API nome usario. Il nome usario può essere trovato sul sito stesso come il Sandbox indirizzo e-mail."
"Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox.","Define here your Rest API client ID of your live account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Define here your Rest API client ID of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account."
"Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox.","Define here your Rest API client secret of your live account. You can find it where you find also the e-mail address of your sandbox."
"Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account.","Define here your Rest API client secret of your sandbox account. Login under 'https://developer.paypal.com/' with your live account and create a new app for an your sandbox merchant account."
"Define here your sandbox business e-mail address. You can find the sandbox e-mail under Applications > Sandbox Accounts.","Inserisci il Sandbox business indirizzo e-mail. Potete trovare e-mail in Applications > Sandbox Accounts."
"Delayed","Ritardato"
"Delete","Cancellare"
"Delivery address","Indirizzo di consegna"
"Deregister","Deregister"
"Description","Descrizione"
"Description of the order","Riepilogo ordine"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Subito dopo l'acquisto"
"Directly after order (sale)","Subito dopo l'ordine (Vendita)"
"Disabled","Disattivato"
"Discount","Sconto"
"Discount Amount","Sconto"
"Do not mark transaction as uncertain.","Non contrassegnare le transazioni come incerto."
"Do only check the payment information (order)","Controllare solo le informazioni di pagamento (Ordine)"
"Don't change order status","Non cambiare lo stato dell'ordine."
"During authorization","Durante l'autorizzazione"
"Edit","Modifica"
"Edit Invoice %s","Modifica la fattura %s"
"Eligible","Eligible"
"Email Address","Indirizzo email"
"Empty version number field name","Campo del numero vuoto"
"Enable or disable logging.","Attiva o disattiva logging."
"Enable the payment method","Attiva la modalità di pagamento"
"Enabled","Attivato"
"Enter the Sandbox and Live Email Adress.","Enter the Sandbox and Live Email Adress."
"Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Error Message:","Error Message:"
"Error retrieving acces token","Error retrieving acces token"
"Error retrieving the checkout details.","Error retrieving the checkout details."
"Error updating the payment details for unkown reason.","Error updating the payment details for unkown reason."
"Error updating the payment details, registration id is missing.","Error updating the payment details, registration id is missing."
"Error updating the payment details.","Error updating the payment details."
"Error updating transaction: !error","Error updating transaction: !error"
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Escl. tasse"
"Experience Profile","Experience Profile"
"Express Checkout","Express Checkout"
"External Checkout","Checkout esterno"
"External Checkout: Guest Checkout","Checkout esterno: Checkout da ospite"
"Failed","Non andato a buon fine"
"Failed payment authorization.","L'autorizzazione é stata rifiutata."
"Figure !number:","Figure !number:"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"Get Update","Aggiorna"
"HTTP error during the execution of the transaction.","HTTP error during the execution of the transaction."
"HTTP error during the registration of the payment wall.","HTTP error during the registration of the payment wall."
"HTTP error during the registration of the transaction.","HTTP error during the registration of the transaction."
